Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=130 , toa=1690.664185, slot_increment = 1479, keep_flag = 1, nb_error= 9, nb_r=12, 
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=291 , toa=1694.949829, slot_increment = 154, keep_flag = 0, nb_error= 11, nb_r=104, perc.=0.105769
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=404 , toa=1697.963348, slot_increment = -1, keep_flag = -1, nb_error= 22, nb_r=75, perc.=0.293333
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228768000, mes id = 3, TS=540 , toa=1701.600220, slot_increment = 1455, keep_flag = 1, nb_error= 10, nb_r=13, 
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=900 , toa=1711.199493, slot_increment = 0, keep_flag = 0, nb_error= 12, nb_r=110, perc.=0.109091
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=941 , toa=1712.298767, slot_increment = 26, keep_flag = 1, nb_error= 13, nb_r=111, perc.=0.117117
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=1340 , toa=1722.938904, slot_increment = 150, keep_flag = 0, nb_error= 14, nb_r=112, perc.=0.125000
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=1424 , toa=1725.161163, slot_increment = 139, keep_flag = 0, nb_error= 15, nb_r=114, perc.=0.131579
Alert3 : TS was not reserved by the ship mmsi=228381900, mes id = 3, TS=1578 , toa=1729.279816, slot_increment = 274, keep_flag = 0, nb_error= 3, nb_r=66, perc.=0.045455
Alert3 : TS was not reserved by the ship mmsi=228768000, mes id = 1, TS==1609, toa=1730.102142, slot_timeout =4 , slot_offset = -1, nb_error= 11, nb_r=14 
Alert3 : TS was not reserved by the ship mmsi=228381900, mes id = 3, TS=1689 , toa=1732.240936, slot_increment = 298, keep_flag = 0, nb_error= 4, nb_r=67, perc.=0.059701
Alert3 : TS was not reserved by the ship mmsi=228768000, mes id = 1, TS==1995, toa=1740.398682, slot_timeout =5 , slot_offset = -1, nb_error= 12, nb_r=15 
Alert3 : TS was not reserved by the ship mmsi=228394000, mes id = 3, TS=2024 , toa=1741.161133, slot_increment = -1, keep_flag = -1, nb_error= 3, nb_r=87, perc.=0.034483
Alert3 : TS was not reserved by the ship mmsi=226263000, mes id = 3, TS=293 , toa=1755.018677, slot_increment = 157, keep_flag = 0, nb_error= 16, nb_r=110, perc.=0.145455
Alert3 : TS was not reserved by the ship mmsi=227635210, mes id = 3, TS=750 , toa=1767.198639, slot_increment = -1, keep_flag = -1, nb_error= 1, nb_r=86, perc.=0.011628
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=235000322, mes id = 3, TS=770 , toa=1767.721100, slot_increment = 0, keep_flag = 0, nb_error= 5, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=228768000, mes id = 1, TS==864, toa=1770.240417, slot_timeout =3 , slot_offset = -1, nb_error= 13, nb_r=18 
